file_id,file_name,relative_path,format,source_type,source_url,topic_expected,difficulty_expected,has_text_layer,is_duplicate,is_bad_file,comment
pdf_real_001,lecture7.pdf,data/real_input/pdf/lecture7.pdf,pdf,local_course_material,,operating_systems,medium,true,false,false,Real lecture PDF with text layer and incomplete embedded metadata.
docx_real_001,lecture-3.docx,data/real_input/docx/lecture-3.docx,docx,local_course_material,,operating_systems,medium,true,false,false,Real DOCX lecture note; core properties are mostly empty.
html_real_001,boolean_function.html,data/real_input/html/boolean_function.html,html,local_saved_page,https://neerc.ifmo.ru/wiki/index.php?title=Определение_булевой_функции,mathematics,hard,true,false,false,Saved educational HTML page used for 3-format pilot run.
docx_synth_001,synthetic_01_python.docx,data/real_input/docx/synthetic_01_python.docx,docx,synthetic,,programming,easy,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_002,synthetic_02_sql.docx,data/real_input/docx/synthetic_02_sql.docx,docx,synthetic,,databases,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_003,synthetic_03_ml.docx,data/real_input/docx/synthetic_03_ml.docx,docx,synthetic,,machine_learning,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_004,synthetic_04_os.docx,data/real_input/docx/synthetic_04_os.docx,docx,synthetic,,operating_systems,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_005,synthetic_05_networks_security.docx,data/real_input/docx/synthetic_05_networks_security.docx,docx,synthetic,,computer_networks,medium,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
docx_synth_006,synthetic_06_discrete_math.docx,data/real_input/docx/synthetic_06_discrete_math.docx,docx,synthetic,,mathematics,hard,true,false,false,"Synthetic DOCX sample with headings, paragraphs, table, and selected core properties."
bad_001,bad_not_a_pdf.pdf,data/real_input/bad_files/bad_not_a_pdf.pdf,pdf,synthetic_bad_file,,unknown,unknown,false,false,true,Invalid PDF extension used to verify that pipeline records extractor errors and continues.
dup_001,boolean_function_duplicate.html,data/real_input/duplicates/boolean_function_duplicate.html,html,local_saved_page,https://neerc.ifmo.ru/wiki/index.php?title=Определение_булевой_функции,mathematics,hard,true,true,false,Byte-level duplicate of html_real_001 for skipped_duplicate verification.
html_neerc_001,neerc_001_заглавная_страница.html,data/real_input/html/neerc_001_заглавная_страница.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=Заглавная_страница,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_002,neerc_002_d0_92_d0_b8_d0_ba_d0_b8_d0_ba_d0_be_d0_bd_d1_81_d0_bf_d0_b5_d0_ba_d1_82_d1_8b_d0.html,data/real_input/html/neerc_002_d0_92_d0_b8_d0_ba_d0_b8_d0_ba_d0_be_d0_bd_d1_81_d0_bf_d0_b5_d0_ba_d1_82_d1_8b_d0.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%92%D0%B8%D0%BA%D0%B8%D0%BA%D0%BE%D0%BD%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D1%8B:%D0%9E%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B5,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_003,neerc_003_d0_94_d0_b8_d1_81_d0_ba_d1_80_d0_b5_d1_82_d0_bd_d0_b0_d1_8f__d0_bc_d0_b0_d1_82_d.html,data/real_input/html/neerc_003_d0_94_d0_b8_d1_81_d0_ba_d1_80_d0_b5_d1_82_d0_bd_d0_b0_d1_8f__d0_bc_d0_b0_d1_82_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%94%D0%B8%D1%81%D0%BA%D1%80%D0%B5%D1%82%D0%BD%D0%B0%D1%8F_%D0%BC%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_004,neerc_004_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_b2_d0_b5_d1_80_d0_be_d1_8f_d1_82_d0_bd_d.html,data/real_input/html/neerc_004_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_b2_d0_b5_d1_80_d0_be_d1_8f_d1_82_d0_bd_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D0%B2%D0%B5%D1%80%D0%BE%D1%8F%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B5%D0%B9,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_005,neerc_005_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d1_84_d0_be_d1_80_d0_bc_d0_b0_d0_bb_d1_8c_d.html,data/real_input/html/neerc_005_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d1_84_d0_be_d1_80_d0_bc_d0_b0_d0_bb_d1_8c_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85_%D1%8F%D0%B7%D1%8B%D0%BA%D0%BE%D0%B2,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_006,neerc_006_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_bc_d0_b0_d1_82_d1_80_d0_be_d0_b8_d0_b4_d.html,data/real_input/html/neerc_006_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_bc_d0_b0_d1_82_d1_80_d0_be_d0_b8_d0_b4_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D0%BC%D0%B0%D1%82%D1%80%D0%BE%D0%B8%D0%B4%D0%BE%D0%B2,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_007,neerc_007_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d1_80_d0_b0_d1_81_d0_bf_d0_b8_d1_81_d0_b0_d.html,data/real_input/html/neerc_007_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d1_80_d0_b0_d1_81_d0_bf_d0_b8_d1_81_d0_b0_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D1%80%D0%B0%D1%81%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D0%B9,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_008,neerc_008_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_b2_d1_8b_d1_87_d0_b8_d1_81_d0_bb_d0_b8_d.html,data/real_input/html/neerc_008_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_b2_d1_8b_d1_87_d0_b8_d1_81_d0_bb_d0_b8_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D0%B2%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D0%B8,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_009,neerc_009_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d1_81_d0_bb_d0_be_d0_b6_d0_bd_d0_be_d1_81_d.html,data/real_input/html/neerc_009_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d1_81_d0_bb_d0_be_d0_b6_d0_bd_d0_be_d1_81_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D0%B8,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_010,neerc_010_d0_90_d0_bb_d0_b3_d0_be_d1_80_d0_b8_d1_82_d0_bc_d1_8b__d0_b8__d1_81_d1_82_d1_80_.html,data/real_input/html/neerc_010_d0_90_d0_bb_d0_b3_d0_be_d1_80_d0_b8_d1_82_d0_bc_d1_8b__d0_b8__d1_81_d1_82_d1_80_.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%90%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC%D1%8B_%D0%B8_%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D1%8B_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_011,neerc_011_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_b3_d1_80_d0_b0_d1_84_d0_be_d0_b2.html,data/real_input/html/neerc_011_d0_a2_d0_b5_d0_be_d1_80_d0_b8_d1_8f__d0_b3_d1_80_d0_b0_d1_84_d0_be_d0_b2.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D0%B3%D1%80%D0%B0%D1%84%D0%BE%D0%B2,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_012,neerc_012_d0_90_d0_bb_d0_b3_d0_be_d1_80_d0_b8_d1_82_d0_bc_d1_8b__d0_bd_d0_b0__d1_81_d1_82_.html,data/real_input/html/neerc_012_d0_90_d0_bb_d0_b3_d0_be_d1_80_d0_b8_d1_82_d0_bc_d1_8b__d0_bd_d0_b0__d1_81_d1_82_.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%90%D0%BB%D0%B3%D0%BE%D1%80%D0%B8%D1%82%D0%BC%D1%8B_%D0%BD%D0%B0_%D1%81%D1%82%D1%80%D0%BE%D0%BA%D0%B0%D1%85,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_013,neerc_013_d0_9c_d0_b5_d1_82_d0_be_d0_b4_d1_8b__d1_82_d1_80_d0_b0_d0_bd_d1_81_d0_bb_d1_8f_d.html,data/real_input/html/neerc_013_d0_9c_d0_b5_d1_82_d0_be_d0_b4_d1_8b__d1_82_d1_80_d0_b0_d0_bd_d1_81_d0_bb_d1_8f_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%9C%D0%B5%D1%82%D0%BE%D0%B4%D1%8B_%D1%82%D1%80%D0%B0%D0%BD%D1%81%D0%BB%D1%8F%D1%86%D0%B8%D0%B8,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_014,neerc_014_d0_92_d1_8b_d1_87_d0_b8_d1_81_d0_bb_d0_b8_d1_82_d0_b5_d0_bb_d1_8c_d0_bd_d0_b0_d1.html,data/real_input/html/neerc_014_d0_92_d1_8b_d1_87_d0_b8_d1_81_d0_bb_d0_b8_d1_82_d0_b5_d0_bb_d1_8c_d0_bd_d0_b0_d1.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%92%D1%8B%D1%87%D0%B8%D1%81%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%B3%D0%B5%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%8F,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_015,neerc_015_d0_af_d0_b7_d1_8b_d0_ba__d0_bf_d1_80_d0_be_d0_b3_d1_80_d0_b0_d0_bc_d0_bc_d0_b8_d.html,data/real_input/html/neerc_015_d0_af_d0_b7_d1_8b_d0_ba__d0_bf_d1_80_d0_be_d0_b3_d1_80_d0_b0_d0_bc_d0_bc_d0_b8_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%AF%D0%B7%D1%8B%D0%BA_%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F_Java,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_016,neerc_016_d0_9e_d1_81_d0_bd_d0_be_d0_b2_d0_bd_d0_b0_d1_8f__d0_b8_d0_bd_d1_84_d0_be_d1_80_d.html,data/real_input/html/neerc_016_d0_9e_d1_81_d0_bd_d0_be_d0_b2_d0_bd_d0_b0_d1_8f__d0_b8_d0_bd_d1_84_d0_be_d1_80_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%9E%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0%D1%8F_%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F_%D0%BE_%D1%8F%D0%B7%D1%8B%D0%BAe,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_017,neerc_017_d0_9f_d1_80_d0_be_d0_b3_d1_80_d0_b0_d0_bc_d0_bc_d0_b8_d1_80_d0_be_d0_b2_d0_b0_d0.html,data/real_input/html/neerc_017_d0_9f_d1_80_d0_be_d0_b3_d1_80_d0_b0_d0_bc_d0_bc_d0_b8_d1_80_d0_be_d0_b2_d0_b0_d0.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BE_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%82%D1%83,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_018,neerc_018_d0_9e_d0_b1_d1_80_d0_b0_d0_b1_d0_be_d1_82_d0_ba_d0_b0__d0_be_d1_88_d0_b8_d0_b1_d.html,data/real_input/html/neerc_018_d0_9e_d0_b1_d1_80_d0_b0_d0_b1_d0_be_d1_82_d0_ba_d0_b0__d0_be_d1_88_d0_b8_d0_b1_d.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%9E%D0%B1%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B0_%D0%BE%D1%88%D0%B8%D0%B1%D0%BE%D0%BA_%D0%B8_%D0%B8%D1%81%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_019,neerc_019_generics.html,data/real_input/html/neerc_019_generics.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=Generics,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
html_neerc_020,neerc_020_d0_9f_d0_b5_d1_80_d0_b5_d1_87_d0_b8_d1_81_d0_bb_d0_b5_d0_bd_d0_b8_d1_8f.html,data/real_input/html/neerc_020_d0_9f_d0_b5_d1_80_d0_b5_d1_87_d0_b8_d1_81_d0_bb_d0_b5_d0_bd_d0_b8_d1_8f.html,html,neerc_wiki,https://neerc.ifmo.ru/wiki/index.php?title=%D0%9F%D0%B5%D1%80%D0%B5%D1%87%D0%B8%D1%81%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F,programming/mathematics,unknown,true,false,false,Downloaded from NEERC wiki for pilot ETL testing.
docx_local_008,HW 1.docx,data/real_input/docx/HW 1.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_009,New Voprosy_k_IA_2025_g_-_OPD_obschiy.docx,data/real_input/docx/New Voprosy_k_IA_2025_g_-_OPD_obschiy.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_010,Бох родился.docx,data/real_input/docx/Бох родился.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_011,Домашнее задание №3.docx,data/real_input/docx/Домашнее задание №3.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_012,Дусаева ВКР.docx,data/real_input/docx/Дусаева ВКР.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_013,Дусаева Элина HW 2.docx,data/real_input/docx/Дусаева Элина HW 2.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_014,Дусаева Элина HW 3.docx,data/real_input/docx/Дусаева Элина HW 3.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_015,Дусаева Элина HW1.docx,data/real_input/docx/Дусаева Элина HW1.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_016,Дусаева Элина Р33662 (1).docx,data/real_input/docx/Дусаева Элина Р33662 (1).docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_017,Дусаева Элина Р33662.docx,data/real_input/docx/Дусаева Элина Р33662.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_018,Дусаева_Р34662_Отчет по учебной практике.docx,data/real_input/docx/Дусаева_Р34662_Отчет по учебной практике.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_019,Курсовая работа НСХД.docx,data/real_input/docx/Курсовая работа НСХД.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_020,Лаба 3 Лонгрид.docx,data/real_input/docx/Лаба 3 Лонгрид.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_021,Лаба 3.docx,data/real_input/docx/Лаба 3.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_022,Лаба 4.docx,data/real_input/docx/Лаба 4.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_023,Практическая работа 4.docx,data/real_input/docx/Практическая работа 4.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_024,Практическая работа 5.docx,data/real_input/docx/Практическая работа 5.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_025,Философия.docx,data/real_input/docx/Философия.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
docx_local_026,хасд экзамен.docx,data/real_input/docx/хасд экзамен.docx,docx,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_003,Л2.pdf,data/real_input/pdf/Л2.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_004,Лекция 1.pdf,data/real_input/pdf/Лекция 1.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_005,Лекция 2.pdf,data/real_input/pdf/Лекция 2.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_006,Лекция 3.pdf,data/real_input/pdf/Лекция 3.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_007,Лекция 4.pdf,data/real_input/pdf/Лекция 4.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_008,Лекция 5.pdf,data/real_input/pdf/Лекция 5.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_009,Лекция 6.pdf,data/real_input/pdf/Лекция 6.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_010,Лекция №13 new new.pdf,data/real_input/pdf/Лекция №13 new new.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_011,Лекция №14 new new.pdf,data/real_input/pdf/Лекция №14 new new.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_012,Лекция №4 new-1.pdf,data/real_input/pdf/Лекция №4 new-1.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_013,Лекция №5 new new.pdf,data/real_input/pdf/Лекция №5 new new.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_014,Лекция №6 new.pdf,data/real_input/pdf/Лекция №6 new.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_015,Лекция №7 new new.pdf,data/real_input/pdf/Лекция №7 new new.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_016,ПАНД_1.pdf,data/real_input/pdf/ПАНД_1.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_017,ПАНД_2_2.pdf,data/real_input/pdf/ПАНД_2_2.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
pdf_local_018,Потоков анализ данных. Введение.pdf,data/real_input/pdf/Потоков анализ данных. Введение.pdf,pdf,local_added,,unknown,unknown,unknown,false,false,Added locally for expanded pilot run; expected topic/difficulty not manually annotated yet.
